"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"MYLPF",44.8020554669604,1.08191925978285,0.215329885195505,5.02447330430025,5.0481601069739e-07,0.000203134018387499,1.87778649681986
"LINC01555",0.42093112838205,1.03583674465782,0.458758125278703,2.25791476505956,0.023950973910245,1,0
"EDDM3B",2.89742806963962,2.96606947001628,1.02542277408187,2.89253325066046,0.0038214872968033,0.0994307119326774,0.568537995857626
"ASB18",0.88391573769792,1.27223532541445,0.42832963539967,2.97022484616862,0.00297581854456062,0.10258081187496,0.421029280033865
"FREM3",13.1024966537327,1.7692837422237,0.247692245916736,7.14307279049205,9.12672626628912e-13,5.10543210147254e-09,1.15325777828708
"TFDP3",0.400472754216625,1.46423605279953,0.639972299598972,2.28796786004187,0.0221393928683611,1,0
"DHRS7C",1.43544107524936,1.72131784189441,0.464165392790768,3.70841486381629,0.000208560758090809,0.0215679698929236,0.553901315060074
"MUC6",1640.66140587884,1.78636610405127,0.341189444988197,5.23570154438121,1.64359361385618e-07,6.83185922773581e-05,2.34268299761675
"LINC01405",6.51419031587227,1.55241743438349,0.495759249714829,3.13139378695701,0.00173978704920915,0.0647364185948829,0.600297986581954
"SLC36A2",4.42572457722378,1.35064006494205,0.285183195011802,4.73604366795229,2.17930650250892e-06,0.000943272379824158,0.996776310846131
"TRDN",52.6657145161709,1.66849701684339,0.328942895763322,5.07229989865443,3.9303633187997e-07,0.000205469650784162,1.33409622263542
"SLC18A3",17.4063218753355,1.34807354991974,0.410306778261887,3.28552590729881,0.00101792180895382,0.0301339798966652,1.43982022191843
"LIN28B",1.17116651186141,1.54388148187714,0.465342991512981,3.31772802005137,0.000907528070947743,0.0496770766031105,0.494929015901026
"DUSP29",2.39754934403823,1.62994373311579,0.589152685774265,2.76658966762363,0.00566460044078969,0.127183230668578,0.530131993540623
"OSTN",9.04487635866882,1.02068132849036,0.265001397317449,3.85160734555552,0.000117345071171233,0.00990024455579906,1.26127866779888
"CLPSL2",2.18502861088818,1.09691093515921,0.306226299949388,3.58202719799213,0.000340938287007814,0.0292739918010629,0.511683171739472
"AC079612.1",1.094318028418,1.33219356841112,0.471620386807358,2.82471582161541,0.00473225663016407,0.113204134636942,0.553901315060074
"NRAP",205.81611772144,2.58000162390375,0.301906244902867,8.54570472609408,1.27754272345741e-17,9.83181453254386e-14,2.23539543453184
"RTP2",0.979732974050454,1.35201026313716,0.441966325046861,3.05907981336318,0.00222017992242839,0.158931994793011,0.138397350881669
"MAGEA1",3.52526370795046,1.93174563445723,0.661656868852275,2.91955804495474,0.00350528108619595,0.0701883546630516,1.02239519788125
"CLPSL1",2.40353851361847,1.55539226692154,0.408170078566197,3.81064744477415,0.000138603315411965,0.0171513615715432,0.530131993540623
"KRT17P4",0.933650893113573,1.19770304154471,0.379915512804213,3.15255103089708,0.00161850528953408,0.133870094056831,0.138397350881669
"TECRL",6.29353644238299,1.7472251413674,0.786122250010532,2.2225870611651,0.0262436574836626,0.183127348754051,1.26127866779888
"FAM183DP",1.09866764967326,1.13196118326211,0.356810974524421,3.17243937009185,0.00151164119158345,0.0642072321572633,0.530131993540623
"SMCO1",4.08997210193513,1.22492661730756,0.254966372269567,4.80426734868585,1.55319181823958e-06,0.00107628717014589,0.568537995857626
"RPTN",1.08863722169613,1.58924790655643,0.640790413941555,2.48013683098165,0.0131331973670876,0.201558997439164,0.528306094368002
"MED15P9",0.737289169117863,1.10754128238349,0.361673596246949,3.06226745296405,0.0021966708447549,0.0813839541973172,0.485714323609554
"AC008171.1",0.86677534786933,1.25860070071349,0.38361302269518,3.28091234200248,0.00103471896569587,0.0588962391188266,0.421029280033865
"SFTA1P",4.02518799329438,1.112208381284,0.320889116222676,3.46602089337365,0.000528222230034319,0.0342088764686226,0.600297986581954
"SELENOKP3",0.809098978515179,1.09909128862438,0.400635987150644,2.74336635717927,0.00608127963810457,0.125059286945204,0.588985819527497
"MTND1P23",402.400135873946,2.74357227168704,0.25836867960044,10.618826848246,2.43603275763388e-26,6.05362359891618e-22,2.07683296734857
"AP001434.2",0.656488220658897,1.00632384474386,0.466060929261995,2.15921091333996,0.0308338077771971,0.305497349731692,0.588985819527497
"RPS26P56",0.733204048925787,1.00825998803604,0.346561751752631,2.9093227482175,0.00362212715717818,0.105127639184078,0.485714323609554
"SLAMF6P1",0.690456347278176,1.52785257516781,0.576726851406741,2.64917884686849,0.00806876193673648,0.170826778646939,0.443626124412693
"AKR1B15",7.97852154632446,1.06590440342478,0.285901842440199,3.72821802870237,0.000192838511945298,0.0129701994840172,1.26127866779888
"MRLN",3.57847058782846,1.01223843121994,0.29018985409486,3.4881937357088,0.000486295579507651,0.032765486427245,0.600297986581954
"THAP12P6",0.615651222723225,1.02878137793647,0.492449584099024,2.08911005543585,0.0366978174004875,0.368272452134184,0.485714323609554
"PPIAP59",3.67953872930052,1.65125901320256,0.269342013502588,6.13071459490927,8.74852246884932e-10,2.30125262732045e-06,1.02239519788125
"SRGAP3-AS2",6.83623788121142,1.01367242996848,0.316659429674097,3.20114398933813,0.00136883110614719,0.0582732970790312,0.568537995857626
"ORM1",2182.68539637458,1.42155329670013,0.38176532822918,3.72363122469504,0.000196377714887552,0.0100182651777416,2.03552832191297
"LINC00858",2.22839705834542,1.40862255399908,0.574842262422231,2.45045057763068,0.0142677547983259,0.175231186547681,0.747609436181733
"ST3GAL3-AS1",2.42626346577655,1.32723318607946,0.359705923038475,3.68977295360661,0.000224454286072166,0.0230201588513854,0.53081734869188
"RP11-432J24.2",4.1671737894762,1.28492839351789,0.225610648497434,5.69533575686923,1.23129367421492e-08,3.19350770820379e-05,0.568537995857626
"AP001057.1",0.496492542408897,1.06060792427515,0.412984908122341,2.56815177362598,0.0102242379853912,1,0
"RP1-269M15.3",17.6604039421449,1.76451748366003,0.280635099930043,6.28758656383286,3.22439227848688e-10,8.12151031128216e-07,1.20530236889802
