,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000160349.8,3.425168276,3.764741119,0.864387526,4.355385754,1.33E-05,0.0027329
ENSG00000177548.11,6281.160411,0.363207516,0.0836371,4.342660345,1.41E-05,0.002879508
ENSG00000130600.14,272.7327786,0.992541396,0.228781054,4.338389827,1.44E-05,0.002919244
ENSG00000161671.15,11817.54114,0.218226182,0.050353737,4.333862683,1.47E-05,0.002963028
ENSG00000260160.1,127.2752459,0.337742566,0.078005927,4.329703872,1.49E-05,0.002995848
ENSG00000189114.6,848.9390496,0.174211468,0.040254585,4.327742296,1.51E-05,0.002995848
ENSG00000147536.10,76.89144232,-0.373557592,0.086356345,-4.325768893,1.52E-05,0.002995848
ENSG00000144354.12,227.3036123,-0.496302345,0.1147507,-4.325048531,1.52E-05,0.002995848
ENSG00000231574.4,11.39311763,-0.620070745,0.143375931,-4.32478968,1.53E-05,0.002995848
ENSG00000226539.1,3.138293532,0.731259134,0.169114296,4.32405273,1.53E-05,0.002995848
ENSG00000167797.6,4071.658373,0.301029276,0.06972028,4.317671622,1.58E-05,0.003066907
ENSG00000198125.11,2743.561882,0.633030135,0.146677258,4.315802885,1.59E-05,0.003067993
ENSG00000255114.1,13.22620212,0.509018568,0.117972334,4.314728291,1.60E-05,0.003067993
ENSG00000120696.8,1105.244526,0.273903752,0.063491801,4.314001906,1.60E-05,0.003067993
ENSG00000117525.12,10510.90751,0.672767118,0.15607633,4.310500617,1.63E-05,0.00310031
ENSG00000069122.17,3117.449786,0.800698838,0.185890471,4.307368934,1.65E-05,0.003113671
ENSG00000234263.1,27.63667991,0.599931378,0.139285826,4.307196183,1.65E-05,0.003113671
ENSG00000253988.1,4.71175379,-0.559597703,0.130110307,-4.300948279,1.70E-05,0.003185925
ENSG00000166159.9,5.788944358,0.895263564,0.208310572,4.297734655,1.73E-05,0.00321553
ENSG00000121073.12,2620.615944,0.183174194,0.042646865,4.295138572,1.75E-05,0.003236446
ENSG00000171431.3,18.60711226,-1.005010952,0.234210267,-4.291062743,1.78E-05,0.003258205
ENSG00000171954.11,101.7726964,0.830875851,0.193632614,4.290991251,1.78E-05,0.003258205
ENSG00000271410.1,1.181915395,-1.269295088,0.295858494,-4.290210058,1.79E-05,0.003258205
ENSG00000142700.10,2.753874385,0.949727101,0.221524972,4.287223651,1.81E-05,0.003285454
ENSG00000262636.1,2.435768044,-0.654609277,0.152886085,-4.281679894,1.85E-05,0.003321772
ENSG00000226958.1,55.22276397,0.941833293,0.220045702,4.280171268,1.87E-05,0.003321772
ENSG00000127074.13,36.71517817,-0.626074697,0.146336051,-4.278335321,1.88E-05,0.003321772
ENSG00000167588.11,31.72203113,0.642280781,0.150128032,4.278220218,1.88E-05,0.003321772
ENSG00000254092.1,5.489401726,-0.944604397,0.220794574,-4.278204765,1.88E-05,0.003321772
ENSG00000165572.7,1048.731119,0.26080693,0.060964428,4.278018167,1.89E-05,0.003321772
ENSG00000181418.7,28.61682966,0.953802527,0.223019801,4.276761624,1.90E-05,0.003321772
ENSG00000274561.1,105.0874725,0.279009882,0.06525208,4.275877178,1.90E-05,0.003321772
ENSG00000254417.1,1.128605039,1.737988374,0.4069444,4.270825137,1.95E-05,0.003381354
ENSG00000217289.3,8.126375095,0.471268038,0.110406982,4.268462292,1.97E-05,0.003400774
ENSG00000145632.13,993.0461804,-0.385210537,0.090283127,-4.266694669,1.98E-05,0.00341126
ENSG00000118946.10,465.1398043,-0.632937816,0.148458562,-4.263397199,2.01E-05,0.003431552
ENSG00000120280.5,36.81023582,-0.486474139,0.114109459,-4.263223607,2.01E-05,0.003431552
ENSG00000271788.1,12.46872232,0.650202935,0.152941526,4.251317156,2.13E-05,0.00360196
ENSG00000238109.1,2.465387717,-0.67179167,0.158094292,-4.249310085,2.14E-05,0.003617158
ENSG00000178462.10,7.468782334,-0.718503088,0.169364285,-4.242353046,2.21E-05,0.00370047
ENSG00000265962.1,5.668582226,1.043617406,0.246014929,4.242089747,2.21E-05,0.00370047
ENSG00000163092.18,119.1775835,2.365869766,0.558245063,4.238048702,2.25E-05,0.003736306
ENSG00000144959.8,1430.621947,-0.404165225,0.09539548,-4.236733494,2.27E-05,0.003736306
ENSG00000175985.9,25.88920959,0.601834006,0.142065663,4.236308714,2.27E-05,0.003736306
ENSG00000224099.1,23.15271255,-1.147558195,0.270949792,-4.235316757,2.28E-05,0.003736306
ENSG00000079335.16,1283.674145,-0.391783384,0.09251705,-4.234715486,2.29E-05,0.003736306
ENSG00000178828.6,22.91318013,-0.867504568,0.204966893,-4.23241312,2.31E-05,0.003757536
ENSG00000105219.7,112.9405789,0.624565365,0.147630984,4.23058457,2.33E-05,0.003770994
ENSG00000249978.1,51.24860779,0.910925816,0.215801925,4.221119969,2.43E-05,0.003915093
ENSG00000259457.1,545.2237619,0.919468327,0.218080031,4.216196786,2.48E-05,0.003983481
ENSG00000166961.13,6.00645105,1.021419718,0.242424204,4.213357003,2.52E-05,0.004015831
